"date","days_old","exp_day","diversity","species_N","sample_code","treatment","treatment_code","replicate","species_counted","treatment_code_species","vol_um3","cells_ul","biov_um3_ul"
"03.12.2019",1,1,"pairs",2,"ATi3","Amphidinium_Tisochrysis","ATi",3,"Amphidinium","ATi_A",348.1432886,16.25,5657.32844
"03.12.2019",1,1,"pairs",2,"ATi3","Amphidinium_Tisochrysis","ATi",3,"Tisochrysis","ATi_Ti",22.35404241,175,3911.957421
"03.12.2019",1,1,"pairs",2,"TiS1","Tisochrysis_Synechococcus","TiS",1,"Tisochrysis","TiS_Ti",19.82028841,200,3964.057682
"03.12.2019",1,1,"pairs",2,"TiS1","Tisochrysis_Synechococcus","TiS",1,"Synechococcus","TiS_S",3.903217928,750,2927.413446
"03.12.2019",1,1,"pairs",2,"TiS2","Tisochrysis_Synechococcus","TiS",2,"Tisochrysis","TiS_Ti",27.01717831,200,5403.435661
"03.12.2019",1,1,"pairs",2,"TiS2","Tisochrysis_Synechococcus","TiS",2,"Synechococcus","TiS_S",3.836271088,1025,3932.177865
"03.12.2019",1,1,"pairs",2,"TiS3","Tisochrysis_Synechococcus","TiS",3,"Tisochrysis","TiS_Ti",27.47732785,75,2060.799589
"03.12.2019",1,1,"pairs",2,"TiS3","Tisochrysis_Synechococcus","TiS",3,"Synechococcus","TiS_S",4.032255228,975,3931.448847
"03.12.2019",1,1,"communities",5,"COM1","Community","COM",1,"Amphidinium","COM_A",323.3712667,5,1616.856334
"03.12.2019",1,1,"communities",5,"COM1","Community","COM",1,"Tetraselmis","COM_T",211.4572394,21.25,4493.466338
"03.12.2019",1,1,"communities",5,"COM1","Community","COM",1,"Dunaliella","COM_D",93.6665437,22.5,2107.497233
"03.12.2019",1,1,"communities",5,"COM1","Community","COM",1,"Synechococcus","COM_S",4.003546124,250,1000.886531
"03.12.2019",1,1,"communities",5,"COM1","Community","COM",1,"Tisochrysis","COM_Ti",29.75911337,92.5,2752.717987
"03.12.2019",1,1,"communities",5,"COM2","Community","COM",2,"Amphidinium","COM_A",341.4438736,8.75,2987.633894
"03.12.2019",1,1,"communities",5,"COM2","Community","COM",2,"Tetraselmis","COM_T",254.594071,16.25,4137.153653
"03.12.2019",1,1,"communities",5,"COM2","Community","COM",2,"Dunaliella","COM_D",105.0260172,22.5,2363.085386
"03.12.2019",1,1,"communities",5,"COM2","Community","COM",2,"Synechococcus","COM_S",4.860046204,450,2187.020792
"03.12.2019",1,1,"communities",5,"COM2","Community","COM",2,"Tisochrysis","COM_Ti",28.82929463,101.25,2918.966081
"03.12.2019",1,1,"communities",5,"COM3","Community","COM",3,"Amphidinium","COM_A",364.4699232,3.75,1366.762212
"03.12.2019",1,1,"communities",5,"COM3","Community","COM",3,"Tetraselmis","COM_T",259.2830525,27.5,7130.283943
"03.12.2019",1,1,"communities",5,"COM3","Community","COM",3,"Dunaliella","COM_D",116.0474636,25,2901.18659
"03.12.2019",1,1,"communities",5,"COM3","Community","COM",3,"Synechococcus","COM_S",4.001695241,425,1700.720477
"03.12.2019",1,1,"communities",5,"COM3","Community","COM",3,"Tisochrysis","COM_Ti",29.39300877,120,3527.161053
"03.12.2019",1,1,"communities",5,"COM4","Community","COM",4,"Amphidinium","COM_A",298.5320029,2.5,746.3300073
"03.12.2019",1,1,"communities",5,"COM4","Community","COM",4,"Tetraselmis","COM_T",252.1141612,21.25,5357.425926
"03.12.2019",1,1,"communities",5,"COM4","Community","COM",4,"Dunaliella","COM_D",88.9138444,8.75,777.9961385
"03.12.2019",1,1,"communities",5,"COM4","Community","COM",4,"Synechococcus","COM_S",4.902674084,400,1961.069634
"03.12.2019",1,1,"communities",5,"COM4","Community","COM",4,"Tisochrysis","COM_Ti",28.41939666,130,3694.521566
"03.12.2019",1,1,"communities",5,"COM5","Community","COM",5,"Amphidinium","COM_A",275.1290562,5,1375.645281
"03.12.2019",1,1,"communities",5,"COM5","Community","COM",5,"Tetraselmis","COM_T",239.8022672,18.75,4496.29251
"03.12.2019",1,1,"communities",5,"COM5","Community","COM",5,"Dunaliella","COM_D",110.3909312,8.75,965.920648
"03.12.2019",1,1,"communities",5,"COM5","Community","COM",5,"Synechococcus","COM_S",5.254403594,450,2364.481617
"03.12.2019",1,1,"communities",5,"COM5","Community","COM",5,"Tisochrysis","COM_Ti",29.11312911,102.5,2984.095734
